DAUID,xCoord,yCoord
48060707,-114.15917,51.0288612
48062219,-113.98692,50.9285456
48060252,-114.15747,51.1285524
48060912,-113.97941,51.0360940
48060775,-114.12262,50.9676621
48062222,-114.06485,51.1641517
48062230,-114.13832,51.1432378
48062276,-114.22906,51.1463055
48060866,-114.05958,51.0620631
48060851,-114.11972,51.0530473
48061624,-114.05865,51.1536146
48061135,-113.93326,51.0612685
48061348,-114.02991,50.8963780
48060864,-114.05305,51.0657136
48060627,-114.06277,51.0259891
48060527,-114.09051,50.9602076
48060835,-114.10066,50.9684131
48061486,-114.01588,50.9991667
48060495,-114.07717,50.9143592
48061177,-113.95060,51.0402171
48061215,-114.01716,50.9960675
48060538,-114.09088,50.9687093
48060985,-113.97269,51.0481282
48061311,-114.05234,50.9364330
48061482,-114.05813,50.9916413
48062279,-114.22156,51.1423039
48062237,-114.17978,51.1473223
48060521,-114.10961,50.9532778
48060381,-114.08986,51.1352697
48061282,-114.05583,50.9693386
48060780,-114.11998,50.9580364
48062275,-114.22673,51.1510965
48061097,-113.95721,51.1134020
48060310,-114.15074,51.0845137
48060571,-114.09939,51.0256373
48061603,-114.14528,51.1220294
48062146,-114.10307,50.9121600
48060593,-114.08381,51.0370330
48060711,-114.17093,51.0244760
48062297,-114.11304,51.1648191
48060536,-114.08078,50.9619966
48060192,-114.19621,51.0858697
48060278,-114.15274,51.1057881
48061655,-113.97795,50.9256803
48061038,-113.95126,51.0708986
48060784,-114.13327,50.9553439
48060998,-113.94811,51.0437181
48060075,-114.05621,51.1243177
48060631,-114.04673,51.0344406
48061877,-114.19292,51.0576971
48061880,-114.19349,51.0420566
48060688,-114.13868,51.0256132
48060833,-114.11340,50.9575592
48060427,-114.11633,51.0864226
48060934,-114.02303,51.0638769
48062185,-114.14621,51.1340836
48061770,-114.08917,51.1498933
48060948,-113.97535,51.0929297
48061061,-113.94958,51.0906074
48062306,-114.21351,51.1352401
48060339,-114.15303,51.1366696
48061345,-114.02086,50.9019822
48060670,-114.10507,51.0340991
48062329,-113.97393,50.8900307
48060216,-114.21853,51.1199308
48060903,-114.02899,51.0367934
48060409,-114.08643,51.0998464
48061064,-113.95247,51.0926340
48061008,-113.94333,51.0500938
48060073,-114.05965,51.1196832
48060413,-114.08542,51.0928868
48062168,-114.21614,51.0725539
48060801,-114.12772,50.9486421
48062256,-114.07414,50.8950297
48060419,-114.08921,51.0827502
48060131,-114.12379,51.0662218
48060580,-114.09326,51.0386821
48060588,-114.08742,51.0366923
48061629,-114.13047,51.1475701
48060790,-114.13148,50.9485015
48061244,-114.00737,50.9200789
48060443,-114.08933,51.0755439
48061658,-114.05109,51.1593681
48062295,-114.12171,51.1653133
48061572,-114.16198,51.0725358
48060523,-114.10649,50.9571294
48061609,-113.97341,51.0743856
48060681,-114.14319,51.0340256
48060264,-114.15672,51.1191547
48061815,-114.24406,51.1504170
48061054,-113.94694,51.0786430
48061080,-113.94512,51.1075722
48062309,-114.18605,51.1490592
48061613,-114.02828,50.9791899
48061625,-114.06163,51.1502206
48060124,-114.09861,51.0611985
48060898,-114.04724,51.0526452
48060122,-114.09623,51.0560630
48060581,-114.09321,51.0399187
48061370,-114.05799,50.9227539
48061321,-114.07510,50.9466690
48062314,-113.97416,50.9226513
48060307,-114.17212,51.0827692
48060980,-113.97879,51.0639152
48060187,-114.17584,51.0832447
48062202,-114.13065,51.1345326
48061957,-113.96858,50.9215809
48060880,-114.05003,51.0844893
48061169,-113.97956,51.0463519
48060874,-114.06511,51.0747030
48060294,-114.18446,51.1008465
48061154,-113.97886,51.0247937
48060678,-114.13306,51.0364146
48062170,-114.20551,51.0692235
48061299,-114.06548,50.9594271
48060755,-114.10426,51.0317835
48060792,-114.13402,50.9453455
48061357,-114.04465,50.9050406
48062395,-114.28846,51.1204737
48060868,-114.06661,51.0601058
48061618,-114.04043,50.8987123
48061309,-114.05062,50.9416703
48061503,-114.07018,51.1275465
48061620,-113.98652,50.9191469
48061462,-114.02494,50.9269823
48061775,-114.07379,51.1525963
48061884,-114.17456,51.0267014
48061213,-114.01028,50.9924618
48060559,-114.07242,51.0064581
48061170,-113.98662,51.0456937
48061283,-114.05708,50.9743469
48060970,-113.96199,51.0694332
48060509,-114.11251,50.9351059
48060578,-114.09757,51.0367178
48061050,-113.93793,51.0770751
48060056,-114.09734,51.1380958
48060407,-114.07920,51.1198720
48062129,-114.12321,51.0319112
48060194,-114.19309,51.0903280
48060140,-114.14514,51.0549734
48061795,-114.19655,51.1480127
48060189,-114.18577,51.0854077
48062287,-114.09670,50.8983655
48061885,-114.17226,51.0308200
48061125,-113.93378,51.0787012
48060602,-114.07019,51.0388777
48060662,-114.09107,51.0456451
48060245,-114.17267,51.1278386
48060607,-114.06129,51.0397023
48061994,-113.94128,51.1264151
48061318,-114.07829,50.9394062
48060585,-114.08797,51.0402197
48062271,-114.04418,51.1749841
48062355,-113.95320,50.9170551
48062238,-114.18008,51.1446887
48060230,-114.19348,51.1243897
48060705,-114.15689,51.0244111
48062235,-114.16016,51.1455452
48060798,-114.12307,50.9437860
48060994,-113.94803,51.0505946
48060301,-114.19733,51.1121541
48061765,-114.09999,51.1509947
48060390,-114.10261,51.1290150
48060129,-114.11457,51.0653574
48060591,-114.08587,51.0320079
48062263,-113.93225,51.0477499
48060761,-114.13800,51.0307107
48061873,-114.20394,51.0636407
48062390,-114.17997,51.1904594
48060095,-114.06004,51.0821164
48060057,-114.09330,51.1399397
48062164,-114.11136,51.0186485
48060838,-114.12987,51.0394696
48061780,-114.07947,51.1419588
48060145,-114.14974,51.0437482
48062242,-114.25277,51.1265088
48060552,-114.08919,51.0026935
48062205,-114.11594,51.1421624
48061483,-114.03878,50.9915656
48061343,-114.03058,50.9160048
48060564,-114.08011,51.0095172
48060956,-113.96061,51.0883841
48061472,-114.08034,50.9825686
48062311,-114.17721,51.1524342
48062324,-113.99789,50.8919066
48061241,-113.99621,50.9229303
48060598,-114.07554,51.0409638
48061052,-113.93768,51.0794955
48060154,-114.16047,51.0436667
48062304,-114.10426,51.1784219
48060906,-113.99434,51.0348793
48061232,-114.01109,50.9481263
48062228,-114.04960,51.1594290
48060420,-114.09194,51.0796320
48060686,-114.14573,51.0270908
48061988,-113.94260,51.1174349
48060871,-114.06390,51.0711068
48060704,-114.14728,51.0176964
48060327,-114.13764,51.1058787
48060876,-114.07216,51.0710746
48061267,-114.03845,50.9459634
48060550,-114.08659,50.9943136
48062026,-113.93024,51.0447308
48060328,-114.14517,51.1088116
48060836,-114.10361,50.9709809
48060309,-114.15627,51.0849680
48062308,-114.21806,51.1286834
48061390,-113.97961,50.9056641
48061167,-113.97594,51.0435587
48060978,-113.97114,51.0614430
48060314,-114.13886,51.0895329
48060514,-114.10525,50.9402932
48060174,-114.16590,51.0639004
48062231,-114.14073,51.1399130
48060543,-114.08725,50.9817841
48060977,-113.97509,51.0646578
48060090,-114.06793,51.0929953
48060178,-114.15679,51.0735880
48061277,-114.04592,50.9640206
48061183,-113.98823,51.0218865
48060810,-114.13737,50.9683440
48060717,-114.18201,51.0389645
48061643,-114.06428,51.0509001
48062136,-114.08133,50.9730289
48060974,-113.97570,51.0700270
48060418,-114.08937,51.0856065
48062156,-114.13064,50.9246394
48060596,-114.07819,51.0395160
48061085,-113.95935,51.1017946
48061560,-114.17414,51.1327392
48060963,-113.97268,51.0794110
48061301,-114.05058,50.9554340
48062192,-113.97769,50.9375022
48061214,-114.01751,50.9923428
48060511,-114.11541,50.9386422
48062186,-114.13537,51.1373049
48061481,-114.05941,50.9878683
48062345,-113.94198,50.9136788
48060843,-114.10673,51.0425173
48062027,-113.93191,51.0447869
48060616,-114.07821,51.0285531
48060183,-114.16210,51.0699200
48061227,-114.01846,50.9652944
48061271,-114.01670,50.9390094
48061495,-113.98014,51.0767168
48060205,-114.21829,51.1043882
48060926,-114.00940,51.0590999
48060733,-114.13059,51.0021651
48060134,-114.12839,51.0560619
48061236,-113.98588,50.9377218
48061589,-114.01659,50.9415990
48061796,-114.19175,51.1447603
48062152,-114.08743,51.0476806
48060326,-114.13393,51.1033906
48061501,-114.05999,51.1275577
48060669,-114.10325,51.0361550
48060450,-114.13000,51.0718920
48062138,-114.11362,50.9063511
48060070,-114.06572,51.1201330
48060395,-114.07630,51.1134382
48061997,-113.95396,51.1272700
48062366,-114.22237,51.0299421
48062163,-114.11218,51.0214382
48061586,-113.96678,51.0206770
48062121,-114.05572,51.1075261
48062142,-114.11441,50.9166461
48061376,-114.07506,50.9090506
48062194,-114.04411,50.8883763
48061476,-114.07447,50.9923327
48060435,-114.10189,51.0763415
48060311,-114.14614,51.0849316
48060805,-114.12906,50.9362945
48060945,-113.97567,51.0888864
48060667,-114.10267,51.0401706
48060886,-114.04451,51.0642880
48060444,-114.08973,51.0618887
48061334,-114.04586,50.9334204
48060158,-114.16723,51.0443621
48060382,-114.09303,51.1319239
48061073,-113.93810,51.0988363
48060612,-114.06552,51.0298103
48061494,-113.97655,51.0763844
48061467,-114.07210,50.9714818
48062264,-113.91864,51.0510458
48060661,-114.07895,51.0510174
48060738,-114.11350,50.9973271
48060173,-114.17189,51.0591859
48061160,-113.97510,51.0325948
48060256,-114.14316,51.1257311
48060168,-114.18227,51.0579739
48061162,-113.96666,51.0321974
48062182,-114.24075,51.0912036
48060774,-114.12026,50.9641997
48061205,-114.00656,50.9841840
48060455,-114.13497,51.0843103
48060454,-114.14254,51.0785464
48061187,-113.99017,51.0176737
48061581,-114.06389,50.9703016
48060191,-114.19447,51.0830561
48060273,-114.16199,51.1109658
48060990,-113.96128,51.0510715
48061257,-114.02575,50.9339171
48061323,-114.07518,50.9444548
48062131,-114.11988,51.0364889
48061069,-113.94725,51.1012236
48062409,-113.88857,51.0377820
48061465,-114.06683,50.9478156
48061776,-114.06894,51.1500871
48062319,-113.96037,50.9243401
48060496,-114.08142,50.9163273
48060541,-114.09188,50.9775746
48060960,-113.97029,51.0833693
48060561,-114.06916,51.0111300
48060841,-114.11583,51.0419768
48060396,-114.08091,51.1109555
48062150,-114.10794,50.9040077
48060989,-113.95969,51.0474794
48061785,-114.14165,51.1399253
48061192,-113.97235,51.0174364
48060875,-114.07242,51.0747345
48061057,-113.95057,51.0838023
48060638,-114.05598,51.0471345
48060447,-114.10962,51.0718684
48061874,-114.19653,51.0614177
48060682,-114.14873,51.0333724
48061021,-113.94879,51.0554783
48060089,-114.06414,51.0999041
48061860,-114.18609,51.0203142
48061030,-113.97335,51.0519319
48060389,-114.09947,51.1291347
48060431,-114.11378,51.0785324
48061598,-114.18192,51.0624589
48061252,-114.01573,50.9347820
48060119,-114.10067,51.0515300
48060349,-114.18164,51.1323618
48061768,-114.10813,51.1476523
48060100,-114.07422,51.0780922
48061517,-114.04878,51.1559560
48060800,-114.12324,50.9478716
48061378,-114.08159,50.9058565
48060283,-114.15691,51.0984127
48062212,-114.20838,51.1209151
48062218,-114.09666,50.9249833
48060391,-114.10379,51.1306544
48061588,-114.02265,50.9379247
48060092,-114.05838,51.0916303
48060817,-114.14670,50.9866404
48061204,-114.00066,50.9826975
48060796,-114.13091,50.9397254
48061020,-113.95387,51.0557468
48062165,-114.22053,51.0921492
48060232,-114.18433,51.1216722
48060397,-114.07517,51.1107959
48062260,-113.91967,51.0883987
48061189,-114.00063,51.0190549
48061296,-114.06181,50.9663267
48061363,-114.04777,50.9131499
48060845,-114.10682,51.0493108
48061249,-114.01713,50.9276964
48060207,-114.20942,51.1072214
48060548,-114.09140,50.9897196
48060645,-114.07172,51.0477540
48061005,-113.93269,51.0506607
48060601,-114.07446,51.0384368
48061076,-113.94497,51.1043208
48061230,-114.01048,50.9518685
48060925,-114.01046,51.0563857
48061041,-113.94753,51.0729902
48062204,-114.13314,51.1300727
48061610,-113.97120,51.0724203
48062344,-113.94823,50.9133236
48060316,-114.13328,51.0928549
48062130,-114.11893,51.0340531
48061060,-113.94645,51.0876715
48061258,-114.02993,50.9357680
48062135,-114.07694,50.9721216
48060576,-114.09910,51.0339306
48062302,-114.07482,51.1643610
48061006,-113.93816,51.0497640
48061881,-114.19329,51.0342982
48060160,-114.17268,51.0463991
